Path,Cycles,Box 0 volume,Box 0 energy,Box 0 pressure,Box 0 mol 0,Box 0 mol 1,Box 0 mol 2,Box 0 mol 3,Box 0 mol 4,Box 0 mol 5,Box 0 mol 6,Box 0 mol 7,Box 1 volume,Box 1 energy,Box 1 pressure,Box 1 mol 0,Box 1 mol 1,Box 1 mol 2,Box 1 mol 3,Box 1 mol 4,Box 1 mol 5,Box 1 mol 6,Box 1 mol 7
simulations/P0-T0-X0/1,39673,0.000000,-10716.436348,16.621184,1.506995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19615222.011369,-622.534952,2.500113,78.493005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P0-T0-X0/2,36259,0.000000,-11404.297510,18.695332,1.592074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19605399.198813,-636.367843,2.499480,78.407926,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P1-T0-X0/1,33821,0.000000,-19097.689314,34.478858,2.684102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9597332.704269,-1301.714099,5.006471,77.315898,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P1-T0-X0/2,36331,0.000000,-18259.650048,29.823778,2.578377,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9602931.401526,-1225.544410,5.006701,77.421623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P2-T0-X0/1,36911,0.000000,-30200.388345,55.093822,4.221208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4638212.784995,-2508.801282,9.992528,75.778792,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P2-T0-X0/2,34784,0.000000,-37991.680540,73.986159,5.310143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4580856.749840,-2485.602530,9.989955,74.689857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P3-T0-X0/1,33639,0.000000,-68546.279824,164.904315,9.554446,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2093566.078100,-4842.864238,19.963638,70.445554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P3-T0-X0/2,39486,0.000000,-71498.955858,161.920342,9.954971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2069726.868563,-4907.488432,20.063264,70.045029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P0-T1-X0/1,37975,0.000000,-4704.402802,7.662703,0.675128,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10675802.472265,-1084.811258,4.988445,79.324872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P0-T1-X0/2,36871,0.000000,-7435.871663,13.164573,1.050744,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10604534.139911,-1030.148707,4.993643,78.949256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P1-T1-X0/1,38149,0.000000,-9172.928619,15.046179,1.310441,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5218662.177439,-2084.005877,10.010822,78.689559,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P1-T1-X0/2,36716,0.000000,-10209.848224,16.508665,1.460998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5214165.866481,-2148.950050,10.004088,78.539002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P2-T1-X0/1,40199,0.000000,-19071.131414,36.169009,2.727431,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2501040.717608,-4295.055085,19.992506,77.272569,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P2-T1-X0/2,39210,0.000000,-21363.429589,41.336175,3.032288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2501016.370005,-4378.865353,19.926040,76.967712,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P3-T1-X0/1,35649,0.000000,-37240.833847,71.653027,5.291761,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1158650.715019,-8924.804990,39.780867,74.708239,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P3-T1-X0/2,36038,0.000000,-42188.973955,76.373783,5.991037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1145240.924984,-8544.526553,39.929671,74.008963,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P0-T2-X0/1,34722,0.000000,-4215.640656,6.993629,0.609181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5086636.038810,-1940.878656,11.252370,79.390819,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P0-T2-X0/2,37667,0.000000,-4604.070250,7.681514,0.665676,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5080058.917464,-1934.831686,11.239281,79.334324,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P1-T2-X0/1,42051,0.000000,-7199.263777,12.602270,1.033745,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2477058.037575,-3966.616951,22.479893,78.966255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P1-T2-X0/2,39632,0.000000,-8278.740480,14.281244,1.188585,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2473057.207877,-4039.110581,22.593553,78.811415,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P2-T2-X0/1,39774,0.000000,-15012.120940,29.732553,2.153995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1170756.645957,-8187.719937,45.010330,77.846005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P2-T2-X0/2,33226,0.000000,-13484.616427,25.407081,1.941913,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1181052.525596,-8006.493740,44.711731,78.058087,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P3-T2-X0/1,35438,0.000000,-23794.492220,44.382250,3.420537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,522121.527250,-17401.338422,89.648330,76.579463,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P3-T2-X0/2,34817,0.000000,-29679.950725,59.055916,4.262113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,508366.594727,-17695.878080,89.737442,75.737887,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P0-T3-X0/1,36312,0.000000,-2978.102473,5.502388,0.437211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2353084.941390,-3760.062597,26.223249,79.562789,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P0-T3-X0/2,36697,0.000000,-2053.002529,3.825686,0.306156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2355563.450163,-3815.454230,26.267819,79.693844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P1-T3-X0/1,30821,0.000000,-5384.171784,11.397149,0.788294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1129339.532646,-7603.445948,52.575684,79.211706,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P1-T3-X0/2,37213,0.000000,-4561.406760,8.885872,0.674710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1136020.201629,-7711.066844,52.567940,79.325290,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P2-T3-X0/1,41196,0.000000,-9588.661323,19.715960,1.402952,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,517006.060981,-16673.517334,103.274283,78.597048,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P2-T3-X0/2,36558,0.000000,-10013.366842,19.213284,1.472892,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,508777.403927,-17146.346584,104.769008,78.527108,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P3-T3-X0/1,39641,0.000000,-17068.956071,36.155765,2.502989,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,193307.964280,-42139.300371,209.335585,77.497011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P3-T3-X0/2,33882,0.000000,-15365.108332,32.693899,2.253940,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192616.014367,-43168.779617,206.377503,77.746060,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P0-T4-X0/1,39194,0.000000,-3212.321328,6.699349,0.484972,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,637459.081169,-12167.678974,100.110311,79.515028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P0-T4-X0/2,39484,0.000000,-3310.261243,7.137101,0.495061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,635519.073370,-12074.313588,100.084898,79.504939,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P1-T4-X0/1,37661,0.000000,-5129.331341,11.269522,0.774780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,279519.459785,-27137.527989,201.650750,79.225220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
