Temperature,Pressure_id,Init mol 0,Init mol 1,Init mol 2,Init mol 3,Init mol 4,Init mol 5,Init mol 6,Init mol 7,Cycles,Box 0 volume,Box 0 energy,Box 0 pressure,Box 0 mol 0,Box 0 mol 1,Box 0 mol 2,Box 0 mol 3,Box 0 mol 4,Box 0 mol 5,Box 0 mol 6,Box 0 mol 7,Box 1 volume,Box 1 energy,Box 1 pressure,Box 1 mol 0,Box 1 mol 1,Box 1 mol 2,Box 1 mol 3,Box 1 mol 4,Box 1 mol 5,Box 1 mol 6,Box 1 mol 7
450,0,60.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,35353.5,0.0,-17991.2918445,29.930583,1.105475,0.0,0.0,1.829426,0.0,0.0,0.0,0.0,19308815.811614998,-503.957808,2.493433,58.894525,0.0,0.0,18.170574000000002,0.0,0.0,0.0,0.0
450,0,20.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,37516.0,0.0,-44083.6962505,59.5414435,0.299783,0.0,0.0,0.0,6.1816475,0.0,0.0,0.0,18414850.0361805,-456.90894749999995,2.5025554999999997,19.700217000000002,0.0,0.0,0.0,53.8183525,0.0,0.0,0.0
450,0,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,35319.5,0.0,-32761.879898,46.3947845,0.779614,0.0,0.0,0.0,4.020276,0.0,0.0,0.0,18823225.0909685,-513.1552495,2.5012905,39.220386000000005,0.0,0.0,0.0,35.979724000000004,0.0,0.0,0.0
450,0,60.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,37247.5,0.0,-20751.2346545,30.789029,1.0034035000000001,0.0,0.0,0.0,2.009849,0.0,0.0,0.0,19289112.7731825,-584.2678845,2.4915555,58.9965965,0.0,0.0,0.0,17.990150999999997,0.0,0.0,0.0
450,0,20.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,30682.5,0.0,-23934.267787999997,32.936398499999996,0.3248295,0.0,0.0,0.0,0.0,3.208431,0.0,0.0,19082717.243421502,25743.6123065,2.5049925,19.6751705,0.0,0.0,0.0,0.0,56.791569,0.0,0.0
450,0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,32875.0,0.0,-18676.6942605,26.1900865,0.45275750000000003,0.0,0.0,0.0,0.0,2.296691,0.0,0.0,19303779.143964,16889.3044845,2.4980304999999996,39.547242499999996,0.0,0.0,0.0,0.0,37.703309,0.0,0.0
450,0,60.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,36015.0,0.0,-15575.217171,22.2174585,1.0960580000000002,0.0,0.0,0.0,0.0,1.1480480000000002,0.0,0.0,19411906.2286625,8164.0749345,2.5018555,58.903942,0.0,0.0,0.0,0.0,18.851951999999997,0.0,0.0
450,0,20.0,0.0,0.0,0.0,0.0,0.0,375.0,0.0,19355.5,0.0,-16215.9411275,38.888737500000005,2.162044,0.0,0.0,0.0,0.0,0.0,1.592539,0.0,3435100.631775,-431.717763,71.2617875,17.837956,0.0,0.0,0.0,0.0,0.0,373.407461,0.0
450,0,40.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,20605.0,0.0,-14348.915504999999,26.9672935,1.979621,0.0,0.0,0.0,0.0,0.0,0.491961,0.0,7561862.14552,-528.5765045,23.709159999999997,38.020379,0.0,0.0,0.0,0.0,0.0,249.508039,0.0
450,0,60.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,24693.5,0.0,-11947.289218,19.671048499999998,1.6677155,0.0,0.0,0.0,0.0,0.0,0.1419025,0.0,13055238.857706498,-595.853337,8.759572,58.3322845,0.0,0.0,0.0,0.0,0.0,124.8580975,0.0
