Path,Cycles,Box 0 volume,Box 0 energy,Box 0 pressure,Box 0 mol 0,Box 0 mol 1,Box 0 mol 2,Box 0 mol 3,Box 0 mol 4,Box 0 mol 5,Box 0 mol 6,Box 0 mol 7,Box 1 volume,Box 1 energy,Box 1 pressure,Box 1 mol 0,Box 1 mol 1,Box 1 mol 2,Box 1 mol 3,Box 1 mol 4,Box 1 mol 5,Box 1 mol 6,Box 1 mol 7
simulations/P2-T3-X51/1,39926,0.000000,-210701.292892,252.277483,0.000000,0.000000,15.011922,0.000000,13.563342,0.000000,0.000000,0.000000,348682.797555,-8874.479339,105.488824,0.000000,0.000000,24.988078,0.000000,26.436658,0.000000,0.000000,0.000000
simulations/P2-T3-X51/2,35934,0.000000,-211148.148550,260.057995,0.000000,0.000000,14.719152,0.000000,13.983776,0.000000,0.000000,0.000000,346910.068021,-8857.325252,104.665069,0.000000,0.000000,25.280848,0.000000,26.016224,0.000000,0.000000,0.000000
simulations/P3-T3-X51/1,39890,0.000000,-259397.022311,284.899428,0.000000,0.000000,18.292555,0.000000,16.869541,0.000000,0.000000,0.000000,126238.488308,-18502.411414,212.233028,0.000000,0.000000,21.707445,0.000000,23.130459,0.000000,0.000000,0.000000
simulations/P3-T3-X51/2,35571,0.000000,-260004.178404,284.026679,0.000000,0.000000,17.961738,0.000000,17.215766,0.000000,0.000000,0.000000,128359.885844,-18024.878660,207.908653,0.000000,0.000000,22.038262,0.000000,22.784234,0.000000,0.000000,0.000000
simulations/P0-T4-X51/1,36702,0.000000,-86433.859217,146.843409,0.000000,0.000000,6.006430,0.000000,6.049834,0.000000,0.000000,0.000000,552646.310475,-8767.954632,100.664715,0.000000,0.000000,33.993570,0.000000,33.950166,0.000000,0.000000,0.000000
simulations/P0-T4-X51/2,38275,0.000000,-90424.351587,152.359436,0.000000,0.000000,6.160679,0.000000,6.469575,0.000000,0.000000,0.000000,552019.057987,-8594.137887,100.443192,0.000000,0.000000,33.839321,0.000000,33.530425,0.000000,0.000000,0.000000
simulations/P1-T4-X51/1,37517,0.000000,-143871.239038,223.856459,0.000000,0.000000,10.003892,0.000000,9.894261,0.000000,0.000000,0.000000,223567.636755,-16799.198206,199.613281,0.000000,0.000000,29.996108,0.000000,30.105739,0.000000,0.000000,0.000000
simulations/P1-T4-X51/2,37610,0.000000,-142771.903164,227.643597,0.000000,0.000000,9.781627,0.000000,10.068492,0.000000,0.000000,0.000000,219456.783549,-16833.824342,202.580897,0.000000,0.000000,30.218373,0.000000,29.931508,0.000000,0.000000,0.000000
simulations/P2-T4-X51/1,33128,0.000000,-188323.626841,275.343199,0.000000,0.000000,12.703544,0.000000,13.423992,0.000000,0.000000,0.000000,76703.968607,-37156.890757,392.784085,0.000000,0.000000,27.296456,0.000000,26.576008,0.000000,0.000000,0.000000
simulations/P2-T4-X51/2,34817,0.000000,-187413.120085,280.028604,0.000000,0.000000,11.884625,0.000000,14.206164,0.000000,0.000000,0.000000,74385.658074,-38945.337967,406.828283,0.000000,0.000000,28.115375,0.000000,25.793836,0.000000,0.000000,0.000000
simulations/P3-T4-X51/1,35750,0.000000,-211867.271888,300.869074,0.000000,0.000000,13.722685,0.000000,15.702210,0.000000,0.000000,0.000000,19137.504213,-107856.001958,782.537260,0.000000,0.000000,26.277315,0.000000,24.297790,0.000000,0.000000,0.000000
simulations/P3-T4-X51/2,34895,0.000000,-213098.234991,295.348832,0.000000,0.000000,13.605130,0.000000,15.991345,0.000000,0.000000,0.000000,18324.536457,-110307.079496,792.884092,0.000000,0.000000,26.394870,0.000000,24.008655,0.000000,0.000000,0.000000
simulations/P0-T5-X51/1,34805,0.000000,-29795.253938,61.378031,0.000000,0.000000,1.960178,0.000000,2.310990,0.000000,0.000000,0.000000,701718.383818,-7625.052882,100.209055,0.000000,0.000000,38.039822,0.000000,37.689010,0.000000,0.000000,0.000000
simulations/P0-T5-X51/2,34102,0.000000,-27131.347607,57.756113,0.000000,0.000000,1.664770,0.000000,2.265791,0.000000,0.000000,0.000000,709062.670739,-7680.473273,99.971026,0.000000,0.000000,38.335230,0.000000,37.734209,0.000000,0.000000,0.000000
simulations/P1-T5-X51/1,35249,0.000000,-54519.785219,111.000737,0.000000,0.000000,3.521689,0.000000,4.302562,0.000000,0.000000,0.000000,316195.038685,-15324.667335,199.573254,0.000000,0.000000,36.478311,0.000000,35.697438,0.000000,0.000000,0.000000
simulations/P1-T5-X51/2,33425,0.000000,-50952.975417,103.972600,0.000000,0.000000,3.313628,0.000000,4.017292,0.000000,0.000000,0.000000,319868.880603,-15346.264622,199.816271,0.000000,0.000000,36.686372,0.000000,35.982708,0.000000,0.000000,0.000000
simulations/P2-T5-X51/1,37577,0.000000,-88196.139394,172.539710,0.000000,0.000000,5.887165,0.000000,6.709743,0.000000,0.000000,0.000000,129727.225613,-31784.878862,400.991280,0.000000,0.000000,34.112835,0.000000,33.290257,0.000000,0.000000,0.000000
simulations/P2-T5-X51/2,39279,0.000000,-86633.014333,169.496517,0.000000,0.000000,5.600855,0.000000,6.777897,0.000000,0.000000,0.000000,131122.520328,-31967.966354,399.577927,0.000000,0.000000,34.399145,0.000000,33.222103,0.000000,0.000000,0.000000
simulations/P3-T5-X51/1,35913,0.000000,-124012.322836,230.380048,0.000000,0.000000,7.700387,0.000000,9.980481,0.000000,0.000000,0.000000,40721.972839,-78740.116337,800.297448,0.000000,0.000000,32.299613,0.000000,30.019519,0.000000,0.000000,0.000000
simulations/P3-T5-X51/2,37157,0.000000,-125694.190489,234.262966,0.000000,0.000000,7.777942,0.000000,10.215195,0.000000,0.000000,0.000000,42834.250425,-74378.441451,795.287309,0.000000,0.000000,32.222058,0.000000,29.784805,0.000000,0.000000,0.000000
simulations/P0-T6-X51/1,34692,0.000000,-9019.639641,22.609906,0.000000,0.000000,0.552173,0.000000,0.784504,0.000000,0.000000,0.000000,841236.226718,-6280.116066,99.680254,0.000000,0.000000,39.447827,0.000000,39.215496,0.000000,0.000000,0.000000
simulations/P0-T6-X51/2,37539,0.000000,-8991.405987,22.332093,0.000000,0.000000,0.585018,0.000000,0.743627,0.000000,0.000000,0.000000,839415.440361,-6284.907116,99.927934,0.000000,0.000000,39.414982,0.000000,39.256373,0.000000,0.000000,0.000000
simulations/P1-T6-X51/1,35429,0.000000,-17135.129279,42.330885,0.000000,0.000000,1.004629,0.000000,1.531006,0.000000,0.000000,0.000000,399685.551358,-12680.865565,199.916026,0.000000,0.000000,38.995371,0.000000,38.468994,0.000000,0.000000,0.000000
simulations/P1-T6-X51/2,35332,0.000000,-16883.134426,42.009924,0.000000,0.000000,0.992245,0.000000,1.520661,0.000000,0.000000,0.000000,399201.788827,-12722.099380,201.382093,0.000000,0.000000,39.007755,0.000000,38.479339,0.000000,0.000000,0.000000
simulations/P2-T6-X51/1,33297,0.000000,-30128.307517,73.329480,0.000000,0.000000,1.805118,0.000000,2.651530,0.000000,0.000000,0.000000,182598.526466,-25928.250053,402.499803,0.000000,0.000000,38.194882,0.000000,37.348470,0.000000,0.000000,0.000000
