Path,Cycles,Box 0 volume,Box 0 energy,Box 0 pressure,Box 0 mol 0,Box 0 mol 1,Box 0 mol 2,Box 0 mol 3,Box 0 mol 4,Box 0 mol 5,Box 0 mol 6,Box 0 mol 7,Box 1 volume,Box 1 energy,Box 1 pressure,Box 1 mol 0,Box 1 mol 1,Box 1 mol 2,Box 1 mol 3,Box 1 mol 4,Box 1 mol 5,Box 1 mol 6,Box 1 mol 7
simulations/P0-T0-X0/1,26588,0.000000,-80024.424252,164.551267,10.487626,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17411355.172610,-568.039640,2.492727,69.512374,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P0-T0-X0/2,26859,0.000000,-85173.952269,163.968208,11.211922,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17239032.588430,-540.793564,2.489303,68.788078,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P1-T0-X0/1,28944,0.000000,-129958.118436,338.979147,17.035551,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7841141.739339,-1030.903902,5.009645,62.964449,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P1-T0-X0/2,31580,0.000000,-139183.677232,385.664693,18.168081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7691778.785075,-1008.171733,5.006172,61.831919,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P2-T0-X0/1,31614,0.000000,-189421.129563,611.079958,24.677453,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3400548.634710,-1795.575000,9.957356,55.322547,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P2-T0-X0/2,29060,0.000000,-203114.389539,766.379570,26.433276,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3301616.158508,-1736.048499,10.017768,53.566724,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P3-T0-X0/1,31405,0.000000,-247327.363477,1151.795271,32.114122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1437441.260952,-3425.662710,19.891387,47.885878,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P3-T0-X0/2,33572,0.000000,-248813.001906,1153.061110,32.325003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1423157.221507,-3310.662894,20.150023,47.674997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P0-T1-X0/1,27673,0.000000,-48982.986181,100.507034,6.523398,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9866033.830065,-995.291080,5.012931,73.476602,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P0-T1-X0/2,31081,0.000000,-46546.884090,90.987511,6.195328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9901252.702818,-968.822313,4.984895,73.804672,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P1-T1-X0/1,29778,0.000000,-93091.638021,225.836995,12.348244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4487715.270679,-1821.555511,10.040889,67.651756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P1-T1-X0/2,29863,0.000000,-86464.715668,205.082200,11.435623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4558329.381220,-1886.928390,9.979182,68.564377,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P2-T1-X0/1,25989,0.000000,-153602.783793,479.402474,20.260072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1955507.762081,-3274.187839,19.928683,59.739928,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P2-T1-X0/2,28646,0.000000,-134792.206940,387.843894,17.913705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2015899.165190,-3350.273143,20.096974,62.086295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P3-T1-X0/1,29769,0.000000,-201724.117370,773.178615,26.545467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,835508.680099,-6116.142233,40.084933,53.454533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
simulations/P3-T1-X0/2,30448,0.000000,-199444.494220,779.711896,26.230491,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,836247.038097,-6211.201143,40.003651,53.769509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
