Path,Cycles,Box 0 volume,Box 0 energy,Box 0 pressure,Box 0 mol 0,Box 0 mol 1,Box 0 mol 2,Box 0 mol 3,Box 0 mol 4,Box 0 mol 5,Box 0 mol 6,Box 0 mol 7,Box 1 volume,Box 1 energy,Box 1 pressure,Box 1 mol 0,Box 1 mol 1,Box 1 mol 2,Box 1 mol 3,Box 1 mol 4,Box 1 mol 5,Box 1 mol 6,Box 1 mol 7
simulations/P1-T7-X66/1,31218,0.000000,-8131.774002,29.737075,0.000000,0.000000,0.000000,1.205554,0.000000,0.329842,0.000000,0.000000,477728.935991,20442.494725,201.131293,0.000000,0.000000,0.000000,38.794446,0.000000,39.670158,0.000000,0.000000
simulations/P1-T7-X66/2,33272,0.000000,-7922.697692,28.782714,0.000000,0.000000,0.000000,1.187094,0.000000,0.320450,0.000000,0.000000,479033.064774,20597.578438,200.545525,0.000000,0.000000,0.000000,38.812906,0.000000,39.679550,0.000000,0.000000
simulations/P2-T7-X66/1,33462,0.000000,-15719.627406,56.493219,0.000000,0.000000,0.000000,2.321081,0.000000,0.647032,0.000000,0.000000,230137.706852,12267.722632,399.636627,0.000000,0.000000,0.000000,37.678919,0.000000,39.352968,0.000000,0.000000
simulations/P2-T7-X66/2,27149,0.000000,-15378.854481,55.746162,0.000000,0.000000,0.000000,2.293344,0.000000,0.614977,0.000000,0.000000,229527.171123,11938.149522,398.651136,0.000000,0.000000,0.000000,37.706656,0.000000,39.385023,0.000000,0.000000
simulations/P3-T7-X66/1,32505,0.000000,-27554.496218,98.333613,0.000000,0.000000,0.000000,4.044609,0.000000,1.164652,0.000000,0.000000,107144.135202,-4877.721280,787.690622,0.000000,0.000000,0.000000,35.955391,0.000000,38.835348,0.000000,0.000000
simulations/P3-T7-X66/2,31657,0.000000,-27916.165182,99.489948,0.000000,0.000000,0.000000,4.134283,0.000000,1.144076,0.000000,0.000000,107008.669627,-4560.678197,802.051638,0.000000,0.000000,0.000000,35.865717,0.000000,38.855924,0.000000,0.000000
simulations/P0-T0-X67/1,30962,0.000000,-137207.044119,169.137863,0.000000,0.000000,0.000000,13.643692,0.000000,8.206996,0.000000,0.000000,14593622.874302,5281.553669,2.507867,0.000000,0.000000,0.000000,46.356308,0.000000,11.793004,0.000000,0.000000
simulations/P0-T0-X67/2,35327,0.000000,-136282.542531,165.082548,0.000000,0.000000,0.000000,13.862683,0.000000,7.906983,0.000000,0.000000,14647225.551806,5393.140385,2.505025,0.000000,0.000000,0.000000,46.137317,0.000000,12.093017,0.000000,0.000000
simulations/P1-T0-X67/1,35016,0.000000,-192480.614433,208.536569,0.000000,0.000000,0.000000,19.977410,0.000000,10.727467,0.000000,0.000000,6208891.833987,3907.303532,5.001212,0.000000,0.000000,0.000000,40.022590,0.000000,9.272533,0.000000,0.000000
simulations/P1-T0-X67/2,33431,0.000000,-194225.558314,212.209576,0.000000,0.000000,0.000000,20.157578,0.000000,10.863121,0.000000,0.000000,6155473.255414,3922.310678,5.020054,0.000000,0.000000,0.000000,39.842422,0.000000,9.136879,0.000000,0.000000
simulations/P2-T0-X67/1,40147,0.000000,-239542.501308,244.094333,0.000000,0.000000,0.000000,25.600443,0.000000,12.722320,0.000000,0.000000,2610632.076366,2708.540685,10.036308,0.000000,0.000000,0.000000,34.399557,0.000000,7.277680,0.000000,0.000000
simulations/P2-T0-X67/2,34813,0.000000,-241123.120386,242.593212,0.000000,0.000000,0.000000,25.500905,0.000000,12.937610,0.000000,0.000000,2600557.075958,2636.801356,9.971878,0.000000,0.000000,0.000000,34.499095,0.000000,7.062390,0.000000,0.000000
simulations/P3-T0-X67/1,41184,0.000000,-274035.527389,257.083850,0.000000,0.000000,0.000000,29.584936,0.000000,14.160062,0.000000,0.000000,1125863.684439,1599.224568,19.946414,0.000000,0.000000,0.000000,30.415064,0.000000,5.839938,0.000000,0.000000
simulations/P3-T0-X67/2,42532,0.000000,-282575.125553,263.882788,0.000000,0.000000,0.000000,30.774452,0.000000,14.187224,0.000000,0.000000,1087944.726302,1589.611004,20.041125,0.000000,0.000000,0.000000,29.225548,0.000000,5.812776,0.000000,0.000000
simulations/P0-T1-X67/1,36936,0.000000,-99079.754657,144.877197,0.000000,0.000000,0.000000,10.942739,0.000000,5.253790,0.000000,0.000000,8639282.968781,6808.846872,4.995026,0.000000,0.000000,0.000000,49.057261,0.000000,14.746210,0.000000,0.000000
simulations/P0-T1-X67/2,35485,0.000000,-99178.332958,146.104493,0.000000,0.000000,0.000000,11.208426,0.000000,5.082739,0.000000,0.000000,8624518.154141,6823.995031,4.995925,0.000000,0.000000,0.000000,48.791574,0.000000,14.917261,0.000000,0.000000
simulations/P1-T1-X67/1,37461,0.000000,-153497.144363,205.615280,0.000000,0.000000,0.000000,17.231334,0.000000,7.854008,0.000000,0.000000,3705888.882132,5199.657242,9.979491,0.000000,0.000000,0.000000,42.768666,0.000000,12.145992,0.000000,0.000000
simulations/P1-T1-X67/2,34736,0.000000,-155610.081040,209.996702,0.000000,0.000000,0.000000,17.318574,0.000000,8.069150,0.000000,0.000000,3695677.258747,5058.780307,9.977032,0.000000,0.000000,0.000000,42.681426,0.000000,11.930850,0.000000,0.000000
simulations/P2-T1-X67/1,38900,0.000000,-207729.745244,262.173236,0.000000,0.000000,0.000000,23.726170,0.000000,10.224524,0.000000,0.000000,1528397.917610,3496.580758,20.120800,0.000000,0.000000,0.000000,36.273830,0.000000,9.775476,0.000000,0.000000
simulations/P2-T1-X67/2,38209,0.000000,-209467.115601,252.633576,0.000000,0.000000,0.000000,23.597294,0.000000,10.523228,0.000000,0.000000,1533898.428613,3368.685850,19.925343,0.000000,0.000000,0.000000,36.402706,0.000000,9.476772,0.000000,0.000000
simulations/P3-T1-X67/1,36796,0.000000,-254640.201924,285.421181,0.000000,0.000000,0.000000,28.641347,0.000000,12.616697,0.000000,0.000000,634588.248431,1416.317251,40.096181,0.000000,0.000000,0.000000,31.358653,0.000000,7.383303,0.000000,0.000000
simulations/P3-T1-X67/2,37788,0.000000,-252587.943792,286.387853,0.000000,0.000000,0.000000,28.749550,0.000000,12.281227,0.000000,0.000000,643923.268454,1602.128832,40.186530,0.000000,0.000000,0.000000,31.250450,0.000000,7.718773,0.000000,0.000000
simulations/P0-T2-X67/1,35209,0.000000,-82208.185379,138.546116,0.000000,0.000000,0.000000,9.987588,0.000000,3.805731,0.000000,0.000000,4302741.770815,7477.478867,11.166379,0.000000,0.000000,0.000000,50.012412,0.000000,16.194269,0.000000,0.000000
simulations/P0-T2-X67/2,36553,0.000000,-80024.814598,137.257368,0.000000,0.000000,0.000000,10.004405,0.000000,3.481903,0.000000,0.000000,4317252.426210,7602.388953,11.201584,0.000000,0.000000,0.000000,49.995595,0.000000,16.518097,0.000000,0.000000
simulations/P1-T2-X67/1,33914,0.000000,-131302.801852,206.373573,0.000000,0.000000,0.000000,15.897417,0.000000,6.065961,0.000000,0.000000,1860217.231272,5601.936201,22.512065,0.000000,0.000000,0.000000,44.102583,0.000000,13.934039,0.000000,0.000000
simulations/P1-T2-X67/2,36599,0.000000,-133192.879095,207.708775,0.000000,0.000000,0.000000,15.903139,0.000000,6.302904,0.000000,0.000000,1857335.555943,5508.580482,22.386678,0.000000,0.000000,0.000000,44.096861,0.000000,13.697096,0.000000,0.000000
simulations/P2-T2-X67/1,38065,0.000000,-186184.360830,269.007598,0.000000,0.000000,0.000000,22.514094,0.000000,8.476763,0.000000,0.000000,768677.845310,3306.563119,45.408177,0.000000,0.000000,0.000000,37.485906,0.000000,11.523237,0.000000,0.000000
simulations/P2-T2-X67/2,38854,0.000000,-183438.219952,268.400772,0.000000,0.000000,0.000000,22.124981,0.000000,8.434833,0.000000,0.000000,773260.715631,3231.210580,44.750640,0.000000,0.000000,0.000000,37.875019,0.000000,11.565167,0.000000,0.000000
simulations/P3-T2-X67/1,42362,0.000000,-226826.331618,312.347913,0.000000,0.000000,0.000000,28.033993,0.000000,9.750956,0.000000,0.000000,318259.548679,579.370739,90.486783,0.000000,0.000000,0.000000,31.966007,0.000000,10.249044,0.000000,0.000000
simulations/P3-T2-X67/2,38236,0.000000,-230009.560885,320.471242,0.000000,0.000000,0.000000,28.129590,0.000000,10.127315,0.000000,0.000000,314618.358521,453.611462,89.777582,0.000000,0.000000,0.000000,31.870410,0.000000,9.872685,0.000000,0.000000
simulations/P0-T3-X67/1,35848,0.000000,-68347.300519,133.290367,0.000000,0.000000,0.000000,8.881277,0.000000,2.827578,0.000000,0.000000,2056072.427562,7550.740257,26.171563,0.000000,0.000000,0.000000,51.118723,0.000000,17.172422,0.000000,0.000000
simulations/P0-T3-X67/2,33012,0.000000,-65803.090573,130.380908,0.000000,0.000000,0.000000,8.960802,0.000000,2.420544,0.000000,0.000000,2059642.237003,7724.140710,26.279709,0.000000,0.000000,0.000000,51.039198,0.000000,17.579456,0.000000,0.000000
simulations/P1-T3-X67/1,40804,0.000000,-111488.283918,208.163999,0.000000,0.000000,0.000000,14.624473,0.000000,4.493432,0.000000,0.000000,896754.640008,5189.433790,52.643200,0.000000,0.000000,0.000000,45.375527,0.000000,15.506568,0.000000,0.000000
simulations/P1-T3-X67/2,34978,0.000000,-110488.443622,207.831298,0.000000,0.000000,0.000000,14.785008,0.000000,4.232718,0.000000,0.000000,897828.349063,5277.722061,52.571402,0.000000,0.000000,0.000000,45.214992,0.000000,15.767282,0.000000,0.000000
simulations/P2-T3-X67/1,32840,0.000000,-160674.372168,279.618636,0.000000,0.000000,0.000000,21.070219,0.000000,6.375396,0.000000,0.000000,376098.564767,1604.454583,104.112091,0.000000,0.000000,0.000000,38.929781,0.000000,13.624604,0.000000,0.000000
simulations/P2-T3-X67/2,35704,0.000000,-162887.163371,281.796255,0.000000,0.000000,0.000000,21.386875,0.000000,6.458352,0.000000,0.000000,370861.765997,1607.493793,104.476758,0.000000,0.000000,0.000000,38.613125,0.000000,13.541648,0.000000,0.000000
simulations/P3-T3-X67/1,37450,0.000000,-203468.438985,337.733877,0.000000,0.000000,0.000000,26.746035,0.000000,7.999626,0.000000,0.000000,145078.148100,-4408.789245,211.252125,0.000000,0.000000,0.000000,33.253965,0.000000,12.000374,0.000000,0.000000
simulations/P3-T3-X67/2,35831,0.000000,-208522.417181,342.187343,0.000000,0.000000,0.000000,26.943792,0.000000,8.462867,0.000000,0.000000,142562.140738,-4454.885010,210.380739,0.000000,0.000000,0.000000,33.056208,0.000000,11.537133,0.000000,0.000000
simulations/P0-T4-X67/1,34353,0.000000,-82557.594970,181.011507,0.000000,0.000000,0.000000,11.933368,0.000000,2.615434,0.000000,0.000000,546718.186165,4490.275285,99.903263,0.000000,0.000000,0.000000,48.066632,0.000000,17.384566,0.000000,0.000000
simulations/P0-T4-X67/2,35356,0.000000,-81915.135394,180.134507,0.000000,0.000000,0.000000,11.801505,0.000000,2.662236,0.000000,0.000000,549365.747397,4381.926754,99.922479,0.000000,0.000000,0.000000,48.198495,0.000000,17.337764,0.000000,0.000000
simulations/P1-T4-X67/1,32921,0.000000,-125614.415145,264.130309,0.000000,0.000000,0.000000,17.971082,0.000000,4.143313,0.000000,0.000000,228421.862876,-1409.453066,200.291130,0.000000,0.000000,0.000000,42.028918,0.000000,15.856687,0.000000,0.000000
simulations/P1-T4-X67/2,40627,0.000000,-122171.114530,259.127378,0.000000,0.000000,0.000000,17.819824,0.000000,3.750609,0.000000,0.000000,230645.786547,-1315.065083,200.232754,0.000000,0.000000,0.000000,42.180176,0.000000,16.249391,0.000000,0.000000
simulations/P2-T4-X67/1,39724,0.000000,-167628.435153,338.512874,0.000000,0.000000,0.000000,24.144698,0.000000,5.319807,0.000000,0.000000,86729.975762,-12500.527579,402.303794,0.000000,0.000000,0.000000,35.855302,0.000000,14.680193,0.000000,0.000000
simulations/P2-T4-X67/2,37001,0.000000,-163862.590038,335.770933,0.000000,0.000000,0.000000,23.668522,0.000000,5.161996,0.000000,0.000000,87359.277980,-12742.430139,394.576080,0.000000,0.000000,0.000000,36.331478,0.000000,14.838004,0.000000,0.000000
simulations/P3-T4-X67/1,42856,0.000000,-195205.112703,387.019673,0.000000,0.000000,0.000000,28.867790,0.000000,5.555325,0.000000,0.000000,22320.495577,-51966.515062,822.495479,0.000000,0.000000,0.000000,31.132210,0.000000,14.444675,0.000000,0.000000
simulations/P3-T4-X67/2,38533,0.000000,-197603.467677,387.128142,0.000000,0.000000,0.000000,28.737031,0.000000,5.973789,0.000000,0.000000,22554.565030,-51993.378974,807.763747,0.000000,0.000000,0.000000,31.262969,0.000000,14.026211,0.000000,0.000000
simulations/P0-T5-X67/1,40700,0.000000,-34603.994230,92.227547,0.000000,0.000000,0.000000,5.477862,0.000000,0.823612,0.000000,0.000000,696185.389335,6763.649749,100.126185,0.000000,0.000000,0.000000,54.522138,0.000000,19.176388,0.000000,0.000000
simulations/P0-T5-X67/2,33085,0.000000,-34494.984077,92.165009,0.000000,0.000000,0.000000,5.484510,0.000000,0.812030,0.000000,0.000000,698328.772101,6777.187704,99.927204,0.000000,0.000000,0.000000,54.515490,0.000000,19.187970,0.000000,0.000000
simulations/P1-T5-X67/1,33883,0.000000,-60672.383977,157.114603,0.000000,0.000000,0.000000,9.345837,0.000000,1.661305,0.000000,0.000000,315268.965706,1412.650417,199.847914,0.000000,0.000000,0.000000,50.654163,0.000000,18.338695,0.000000,0.000000
